Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia,categoriaVia,dia_setmana
2023,Zona urbana,2023-11-20,C-246,20.0,Castelldefels,Baix Llobregat,Barcelona,0,1,0,1,2,1,0,0,0,0,1,0,0,100.0,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,Si,No,No,No,No,En secció,Genérica via,Alba o capvespre,,Doble sentit,Atropellament,,Travessera,Sec i net,Carretera convencional,,,"Calma, vent molt suau",Feiners,16.0,Tarda,Atropellament,dill-dij,Altres,Dilluns
2023,Carretera,2023-01-09,B-140,,Santa Perpètua de Mogoda,Vallès Occidental,Barcelona,0,1,0,1,1,0,1,0,0,0,0,0,0,999.0,No,No n'hi ha,Sense Especificar,,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",,,Altres,,Carretera,Sec i net,Carretera convencional,Altres,Sense especificar,"Calma, vent molt suau",Feiners,18.1,Tarda,Altres,dill-dij,Altres,Dilluns
2023,Carretera,2023-11-06,A-2,,Sidamon,Pla d'Urgell,Lleida,0,1,3,4,3,0,0,0,0,2,1,0,0,100.0,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",,Un sol sentit,Encalç,,Carretera,Sec i net,Carretera convencional,Estatal,Pla,"Calma, vent molt suau",Feiners,13.41,Matí,Col.lisió de vehicles en marxa,dill-dij,Autopista/Autovia,Dilluns
2023,Carretera,2023-07-01,N-260,,Planoles,Ripollès,Girona,1,0,0,1,1,0,0,0,1,0,0,0,0,60.0,No,No n'hi ha,Desmunt,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident mortal,No,No,No,No,No,No,No,No,No,No,En secció,Senyal velocitat,"De dia, dia clar",,Doble sentit,Resta sortides de via,,Carretera,Sec i net,Carretera convencional,Estatal,Rampa o pendent,"Calma, vent molt suau",CapDeSetmana,10.22,Matí,Sortida de la calcada sense especificar,dis,Nacional,Dissabte
2023,Carretera,2023-02-11,AP-7,,Bàscara,Alt Empordà,Girona,1,2,3,6,5,0,0,0,0,5,0,0,0,100.0,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident mortal,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De nit, sense llum artificial",,Un sol sentit,Col·lisió frontal,,Carretera,Sec i net,Carretera convencional,Estatal,Pla,"Calma, vent molt suau",CapDeSetmana,19.3,Tarda,Col.lisió de vehicles en marxa,dis,Autopista/Autovia,Dissabte
2023,Carretera,2023-11-25,LP-7032,,Cervià de les Garrigues,Garrigues,Lleida,0,1,0,1,1,0,0,0,1,0,0,0,0,999.0,No,No n'hi ha,Sense Especificar,,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",,,Resta sortides de via,,Carretera,Sec i net,Carretera convencional,Altres,Sense especificar,"Calma, vent molt suau",CapDeSetmana,12.1,Matí,Sortida de la calcada sense especificar,dis,Altres,Dissabte
2023,Carretera,2023-02-24,C-17,,Parets del Vallès,Vallès Oriental,Barcelona,0,1,0,1,1,0,0,0,0,1,0,0,0,999.0,No,No n'hi ha,Sense Especificar,,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",,,Resta sortides de via,,Carretera,Sec i net,Carretera convencional,Altres,Sense especificar,"Calma, vent molt suau",CapDeSetmana,18.2,Tarda,Sortida de la calcada sense especificar,div,Altres,Divendres
2023,Carretera,2023-08-15,N-II,,Mataró,Maresme,Barcelona,0,1,0,1,1,0,1,0,0,0,0,0,0,999.0,No,No n'hi ha,Sense Especificar,,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,En secció,Genérica via,"De dia, dia clar",,,Altres,,Carretera,Sec i net,Carretera convencional,Altres,Sense especificar,"Calma, vent molt suau",Feiners,9.29,Matí,Altres,dill-dij,Nacional,Dimarts
2023,Carretera,2023-11-26,CR,1.0,Lleida,Segrià,Lleida,1,0,1,2,2,0,0,0,1,1,0,0,0,60.0,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident mortal,No,No,No,No,No,No,No,No,No,No,Dintre intersecció,Senyal velocitat,"De dia, dia clar",Sols norma prioritat de pas,Doble sentit,Envestida (frontal lateral),Intersecció en T o Y,Carretera,Sec i net,Altres,Provincial,Pla,"Calma, vent molt suau",CapDeSetmana,14.5,Tarda,Col.lisió de vehicles en marxa,dg,Altres,Diumenge
2023,Carretera,2023-11-11,AP-7,,"Papiol, el",Baix Llobregat,Barcelona,0,1,1,2,1,0,0,0,0,1,0,0,0,80.0,No,No n'hi ha,A nivell,No n'hi ha,No n'hi ha,Bon temps,Sense funció especial,Accident greu,No,No,No,No,No,No,No,No,No,No,Dintre intersecció,Senyal velocitat,"De nit, il·luminació artificial insuficient",Sols marques viàries (inclou pas vianants),Doble sentit,Resta sortides de via,Enllaç d'entrada o eixida,Carretera,Sec i net,Carretera convencional,Estatal,Rampa o pendent,"Calma, vent molt suau",CapDeSetmana,20.45,Tarda,Sortida de la calcada sense especificar,dis,Autopista/Autovia,Dissabte
