Data,DiaSetmana
01/01/2010,Divendres
02/01/2010,Dissabte
03/01/2010,Diumenge
04/01/2010,Dilluns
05/01/2010,Dimarts
06/01/2010,Dimecres
07/01/2010,Dijous
08/01/2010,Divendres
09/01/2010,Dissabte
10/01/2010,Diumenge
11/01/2010,Dilluns
12/01/2010,Dimarts
13/01/2010,Dimecres
14/01/2010,Dijous
15/01/2010,Divendres
16/01/2010,Dissabte
17/01/2010,Diumenge
18/01/2010,Dilluns
19/01/2010,Dimarts
20/01/2010,Dimecres
21/01/2010,Dijous
22/01/2010,Divendres
23/01/2010,Dissabte
24/01/2010,Diumenge
25/01/2010,Dilluns
26/01/2010,Dimarts
27/01/2010,Dimecres
28/01/2010,Dijous
29/01/2010,Divendres
30/01/2010,Dissabte
31/01/2010,Diumenge
01/02/2010,Dilluns
02/02/2010,Dimarts
03/02/2010,Dimecres
04/02/2010,Dijous
05/02/2010,Divendres
06/02/2010,Dissabte
07/02/2010,Diumenge
08/02/2010,Dilluns
09/02/2010,Dimarts
10/02/2010,Dimecres
11/02/2010,Dijous
12/02/2010,Divendres
13/02/2010,Dissabte
14/02/2010,Diumenge
15/02/2010,Dilluns
16/02/2010,Dimarts
17/02/2010,Dimecres
18/02/2010,Dijous
19/02/2010,Divendres
20/02/2010,Dissabte
21/02/2010,Diumenge
22/02/2010,Dilluns
23/02/2010,Dimarts
24/02/2010,Dimecres
25/02/2010,Dijous
26/02/2010,Divendres
27/02/2010,Dissabte
28/02/2010,Diumenge
01/03/2010,Dilluns
02/03/2010,Dimarts
03/03/2010,Dimecres
04/03/2010,Dijous
05/03/2010,Divendres
06/03/2010,Dissabte
07/03/2010,Diumenge
08/03/2010,Dilluns
09/03/2010,Dimarts
10/03/2010,Dimecres
11/03/2010,Dijous
12/03/2010,Divendres
13/03/2010,Dissabte
14/03/2010,Diumenge
15/03/2010,Dilluns
16/03/2010,Dimarts
17/03/2010,Dimecres
18/03/2010,Dijous
19/03/2010,Divendres
20/03/2010,Dissabte
21/03/2010,Diumenge
22/03/2010,Dilluns
23/03/2010,Dimarts
24/03/2010,Dimecres
25/03/2010,Dijous
26/03/2010,Divendres
27/03/2010,Dissabte
28/03/2010,Diumenge
29/03/2010,Dilluns
30/03/2010,Dimarts
31/03/2010,Dimecres
01/04/2010,Dijous
02/04/2010,Divendres
03/04/2010,Dissabte
04/04/2010,Diumenge
05/04/2010,Dilluns
06/04/2010,Dimarts
07/04/2010,Dimecres
08/04/2010,Dijous
09/04/2010,Divendres
10/04/2010,Dissabte
11/04/2010,Diumenge
12/04/2010,Dilluns
13/04/2010,Dimarts
14/04/2010,Dimecres
15/04/2010,Dijous
16/04/2010,Divendres
17/04/2010,Dissabte
18/04/2010,Diumenge
19/04/2010,Dilluns
20/04/2010,Dimarts
21/04/2010,Dimecres
22/04/2010,Dijous
23/04/2010,Divendres
24/04/2010,Dissabte
25/04/2010,Diumenge
26/04/2010,Dilluns
27/04/2010,Dimarts
28/04/2010,Dimecres
29/04/2010,Dijous
30/04/2010,Divendres
01/05/2010,Dissabte
02/05/2010,Diumenge
03/05/2010,Dilluns
04/05/2010,Dimarts
05/05/2010,Dimecres
06/05/2010,Dijous
07/05/2010,Divendres
08/05/2010,Dissabte
